Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart-ig-empty.json	6185	-	0	0	0	0	0	0	5	77	0	0	0	0	0	0	0	1	0	0	119	104	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	1182	16	1	0	0	1	0	294	0	145	0	0	0	0	0	0	0	5	0	0	231	2363	0	0	0	7	1	1
fsh-generated/resources/Patient-PatientExample.json	277	13	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0
